timestamp,rps,interval_start,interval_end,duration_seconds
2026-09-19T14:48:21.841Z,0.07,2026-09-19T14:43:21.842Z,2026-09-19T14:48:21.841Z,300
2026-09-19T14:53:21.856Z,0.17,2026-09-19T14:48:21.841Z,2026-09-19T14:53:21.856Z,300.01
2026-09-19T14:58:21.864Z,0.08,2026-09-19T14:53:21.856Z,2026-09-19T14:58:21.864Z,300.01
2026-09-19T15:03:21.878Z,0,2026-09-19T14:58:21.864Z,2026-09-19T15:03:21.878Z,300.01
2026-09-19T15:08:21.895Z,0,2026-09-19T15:03:21.878Z,2026-09-19T15:08:21.895Z,300.02
2026-09-19T15:13:21.905Z,0,2026-09-19T15:08:21.895Z,2026-09-19T15:13:21.905Z,300.01
2026-09-19T15:18:21.907Z,0,2026-09-19T15:13:21.905Z,2026-09-19T15:18:21.907Z,300
2026-09-19T15:23:21.919Z,0,2026-09-19T15:18:21.907Z,2026-09-19T15:23:21.919Z,300.01
2026-09-19T15:28:21.924Z,0,2026-09-19T15:23:21.919Z,2026-09-19T15:28:21.924Z,300
2026-09-19T15:33:21.928Z,0,2026-09-19T15:28:21.924Z,2026-09-19T15:33:21.928Z,300
2026-09-19T15:38:21.936Z,0,2026-09-19T15:33:21.928Z,2026-09-19T15:38:21.936Z,300.01
2026-09-19T15:43:21.938Z,0.16,2026-09-19T15:38:21.936Z,2026-09-19T15:43:21.938Z,300
2026-09-19T15:48:21.941Z,0.67,2026-09-19T15:43:21.938Z,2026-09-19T15:48:21.941Z,300
2026-09-19T15:53:21.943Z,0,2026-09-19T15:48:21.941Z,2026-09-19T15:53:21.943Z,300
2026-09-19T15:58:21.940Z,0,2026-09-19T15:53:21.943Z,2026-09-19T15:58:21.940Z,300
2026-09-19T16:03:21.947Z,0,2026-09-19T15:58:21.940Z,2026-09-19T16:03:21.947Z,300.01
2026-09-19T16:08:21.953Z,0,2026-09-19T16:03:21.947Z,2026-09-19T16:08:21.953Z,300.01
2026-09-19T16:13:21.952Z,0,2026-09-19T16:08:21.953Z,2026-09-19T16:13:21.952Z,300
2026-09-19T16:18:21.961Z,0,2026-09-19T16:13:21.952Z,2026-09-19T16:18:21.961Z,300.01
2026-09-19T16:23:21.963Z,0,2026-09-19T16:18:21.961Z,2026-09-19T16:23:21.963Z,300
2026-09-19T16:28:21.970Z,0,2026-09-19T16:23:21.963Z,2026-09-19T16:28:21.970Z,300.01
2026-09-19T16:33:21.970Z,0,2026-09-19T16:28:21.970Z,2026-09-19T16:33:21.970Z,300
2026-09-19T16:38:21.970Z,0,2026-09-19T16:33:21.970Z,2026-09-19T16:38:21.970Z,300
2026-09-19T16:43:21.986Z,0,2026-09-19T16:38:21.970Z,2026-09-19T16:43:21.986Z,300.02
2026-09-19T16:48:21.989Z,0,2026-09-19T16:43:21.986Z,2026-09-19T16:48:21.989Z,300
2026-09-19T16:53:21.996Z,0,2026-09-19T16:48:21.989Z,2026-09-19T16:53:21.996Z,300.01
2026-09-19T16:58:22.004Z,0,2026-09-19T16:53:21.996Z,2026-09-19T16:58:22.004Z,300.01
2026-09-19T17:03:22.004Z,0,2026-09-19T16:58:22.004Z,2026-09-19T17:03:22.004Z,300
2026-09-19T17:08:22.014Z,0,2026-09-19T17:03:22.004Z,2026-09-19T17:08:22.014Z,300.01
2026-09-19T17:13:22.028Z,0,2026-09-19T17:08:22.014Z,2026-09-19T17:13:22.028Z,300.01
2026-09-19T17:18:22.030Z,0,2026-09-19T17:13:22.028Z,2026-09-19T17:18:22.030Z,300
2026-09-19T17:23:22.030Z,0,2026-09-19T17:18:22.030Z,2026-09-19T17:23:22.030Z,300
2026-09-19T17:28:22.037Z,0,2026-09-19T17:23:22.030Z,2026-09-19T17:28:22.037Z,300.01
2026-09-19T17:33:22.050Z,0,2026-09-19T17:28:22.037Z,2026-09-19T17:33:22.050Z,300.01
2026-09-19T17:38:22.052Z,0,2026-09-19T17:33:22.050Z,2026-09-19T17:38:22.052Z,300
2026-09-19T17:43:22.065Z,0,2026-09-19T17:38:22.052Z,2026-09-19T17:43:22.065Z,300.01
2026-09-19T17:48:22.072Z,0,2026-09-19T17:43:22.065Z,2026-09-19T17:48:22.072Z,300.01
2026-09-19T17:53:22.077Z,0,2026-09-19T17:48:22.072Z,2026-09-19T17:53:22.077Z,300
2026-09-19T17:58:22.086Z,0,2026-09-19T17:53:22.077Z,2026-09-19T17:58:22.086Z,300.01
2026-09-19T18:03:22.098Z,0,2026-09-19T17:58:22.086Z,2026-09-19T18:03:22.098Z,300.01
